,Date,HighTemp,AvgTemp,LowTemp,HightDpt,AvgDpt,LowDpt,AvgHum,AvgWind,TotalPrecip,HighPres,AvgPres,LowPres,WindDir,WindSpeed,Visibility
0,2018-04-17,84,69,54,62,58,54,71,13,0,29,29,29,180,15,10
1,2018-04-18,81,70,57,65,56,42,65,4,0,30,29,29,160,10,10
2,2018-04-19,76,64,53,43,39,35,42,7,0,30,30,30,30,12,10
3,2018-04-20,67,60,51,50,46,42,62,1,0,30,30,29,110,8,10
4,2018-04-21,71,65,59,69,62,52,92,2,0,29,29,29,,6,6
5,2018-04-22,76,62,53,58,50,47,67,5,0.24,30,29,29,350,11,10
6,2018-04-23,84,66,48,54,49,46,61,1,0,30,29,29,,4,10
7,2018-04-24,85,68,51,59,56,50,68,0,0,30,29,29,,3,10
8,2018-04-25,86,66,53,61,56,47,76,3,0,30,29,29,,8,9
9,2018-04-26,76,62,46,54,49,45,68,0,0.32,30,29,29,,4,10
10,2018-04-27,78,65,51,57,52,49,66,0,0,30,29,29,,4,10
11,2018-04-28,83,69,52,58,54,50,64,0,0,30,29,29,,5,10
12,2018-04-29,81,68,51,62,55,51,67,3,0,30,30,29,,7,9
13,2018-04-30,77,70,58,66,64,58,82,6,0,30,29,29,150,11,10
14,2018-05-01,81,74,70,72,69,66,84,5,0,29,29,29,150,13,10
15,2018-05-02,86,78,73,73,71,68,81,12,0,29,29,29,160,15,9
16,2018-05-03,85,79,75,73,71,69,76,6,0,29,29,29,160,13,9
17,2018-05-04,74,68,63,72,66,62,94,7,0.03,30,30,29,,11,6
18,2018-05-05,83,70,59,65,60,54,76,2,2.56,30,30,29,320,7,9
19,2018-05-06,87,72,55,61,56,53,64,1,0,30,30,29,,3,10
20,2018-05-07,90,72,53,62,58,53,67,0,0,30,30,29,,4,10
21,2018-05-08,88,76,63,61,58,51,56,5,0,30,29,29,210,10,10
22,2018-05-09,88,74,60,67,60,50,67,3,0,29,29,29,160,9,9
23,2018-05-10,88,71,60,67,63,57,79,3,0,29,29,29,160,10,7
24,2018-05-11,90,78,70,70,66,61,71,6,0,29,29,29,180,14,10
25,2018-05-12,92,80,71,70,68,64,70,4,0,29,29,29,180,12,9
26,2018-05-13,91,79,73,72,70,67,76,2,0,29,29,29,160,10,9
27,2018-05-14,90,80,73,72,70,65,73,2,0,29,29,29,160,9,10
28,2018-05-15,90,80,73,71,68,65,70,2,0,29,29,29,180,8,10
29,2018-05-16,95,81,67,69,66,63,64,0,0.01,29,29,29,,4,10
30,2018-05-17,96,82,65,66,63,62,56,1,0,29,29,29,,6,10
